accx,accy,accz
-0.053,-0.046,-0.073
-0.053,-0.046,-0.073
-0.009,-0.106,0.024
-0.009,-0.106,0.024
-0.026,-0.156,0.056
0,-0.144,0.051
0,-0.144,0.051
-0.002,-0.127,0.078
-0.002,-0.127,0.078
-0.007,-0.134,0.066
-0.069,-0.101,0.245
-0.069,-0.101,0.245
-0.05,-0.163,-0.208
-0.05,-0.163,-0.208
-0.059,-0.037,-0.048
-0.047,-0.001,-0.004
-0.018,-0.013,-0.102
-0.018,-0.013,-0.102
-0.052,-0.013,-0.037
-0.052,-0.013,-0.037
-0.088,-0.042,-0.03
-0.102,-0.049,-0.102
-0.09,-0.009,-0.059
-0.082,-0.009,0.019
-0.082,-0.009,0.019
-0.106,-0.006,0.029
-0.104,0.007,0.099
-0.104,0.007,0.099
-0.114,-0.04,0.147
-0.114,-0.04,0.147
-0.073,-0.116,0.027
-0.073,-0.155,0.056
-0.111,-0.116,0.092
-0.061,-0.123,0.032
-0.061,-0.123,0.032
-0.054,-0.158,-0.223
-0.054,-0.158,-0.223
-0.008,-0.156,0.075
-0.025,-0.146,0.12
-0.025,-0.146,0.12
0.015,-0.218,-0.035
0.015,-0.218,-0.035
0.012,-0.191,0.05
-0.008,-0.194,0.066
-0.008,-0.194,0.066
0,-0.295,-0.072
0,-0.295,-0.072
-0.014,-0.331,-0.081
-0.048,-0.288,0.035
-0.048,-0.288,0.035
-0.058,-0.313,-0.129
-0.058,-0.313,-0.129
-0.095,-0.313,0.072
-0.134,-0.337,0.091
-0.134,-0.337,0.091
-0.122,-0.318,0.084
-0.098,-0.337,-0.054
-0.127,-0.301,-0.057
-0.13,-0.229,-0.093
-0.116,-0.222,-0.1
-0.117,-0.222,-0.057
-0.143,-0.229,-0.101
-0.14,-0.27,-0.182
-0.128,-0.282,-0.175
-0.152,-0.325,-0.199
-0.14,-0.296,-0.156
-0.128,-0.325,-0.087
-0.12,-0.334,-0.024
-0.101,-0.377,-0.003
-0.106,-0.389,0.004
-0.101,-0.387,-0.05
-0.12,-0.41,-0.014
-0.101,-0.367,0.002
-0.123,-0.382,0.105
-0.075,-0.504,0.021
-0.063,-0.482,-0.076
-0.046,-0.513,-0.147
-0.073,-0.506,-0.037
-0.108,-0.504,0.01
-0.082,-0.494,-0.006
-0.125,-0.461,-0.016
-0.077,-0.475,-0.08
-0.061,-0.44,-0.045
-0.065,-0.426,-0.071
-0.065,-0.426,-0.071
-0.092,-0.46,-0.095
-0.108,-0.501,-0.076
-0.113,-0.489,-0.047
-0.077,-0.432,-0.057
-0.077,-0.432,-0.057
-0.108,-0.429,-0.045
-0.122,-0.417,-0.059
-0.111,-0.472,-0.071
-0.108,-0.518,-0.062
-0.108,-0.518,-0.062
-0.069,-0.492,-0.129
-0.083,-0.512,-0.179
-0.083,-0.512,-0.179
-0.11,-0.461,-0.179
-0.11,-0.461,-0.179
-0.088,-0.526,-0.138
-0.066,-0.531,-0.188
-0.066,-0.531,-0.188
-0.114,-0.564,-0.193
-0.076,-0.59,-0.155
-0.088,-0.542,-0.079
-0.071,-0.521,-0.038
-0.071,-0.521,-0.038
-0.064,-0.523,-0.055
-0.064,-0.523,-0.055
-0.059,-0.55,-0.084
-0.075,-0.583,-0.025
-0.075,-0.583,-0.025
-0.078,-0.65,-0.053
-0.078,-0.65,-0.053
-0.061,-0.605,0.013
-0.061,-0.605,0.013
-0.037,-0.571,0.061
-0.027,-0.637,-0.088
-0.027,-0.637,-0.088
-0.019,-0.657,-0.076
0.014,-0.628,-0.169
0.014,-0.628,-0.169
0.03,-0.624,-0.25
0.03,-0.624,-0.25
-0.006,-0.643,-0.171
0.019,-0.627,-0.161
0.019,-0.627,-0.161
0.029,-0.639,-0.152
0.029,-0.639,-0.152
0.034,-0.706,-0.094
0.027,-0.754,-0.087
0.027,-0.754,-0.087
0.046,-0.787,-0.018
0.046,-0.787,-0.018
0.058,-0.72,-0.07
0.058,-0.72,-0.07
0.049,-0.735,-0.029
0.058,-0.706,-0.07
0.058,-0.706,-0.07
0.032,-0.749,-0.043
0.055,-0.821,-0.074
0.055,-0.821,-0.074
0.031,-0.808,0.033
0.031,-0.808,0.033
0.065,-0.765,-0.151
0.079,-0.729,-0.149
0.079,-0.729,-0.149
0.077,-0.748,-0.058
0.077,-0.748,-0.058
0.076,-0.791,-0.154
0.102,-0.779,-0.128
0.102,-0.779,-0.128
0.04,-0.123,-0.066
0.04,-0.123,-0.066
0.033,-0.092,-0.108
0.033,-0.079,-0.059
0.033,-0.079,-0.059
0.023,-0.09,-0.059
0.004,-0.031,-0.043
0.007,-0.039,-0.015
0.007,-0.039,-0.015
-0.015,-0.048,0.024
-0.003,-0.045,-0.049
-0.003,-0.045,-0.049
-0.015,0.017,-0.016
-0.015,0.017,-0.016
-0.013,0.041,-0.058
0,-0.011,-0.054
0,-0.011,-0.054
0,0.007,-0.003
0.027,-0.029,-0.099
0.027,-0.029,-0.099
0.036,-0.009,-0.052
-0.004,0.007,0.014
0.006,0.009,-0.004
-0.015,-0.005,-0.006
-0.015,-0.005,-0.006
0.022,-0.049,0.031
0.022,-0.049,0.031
0.067,-0.035,0.025
0.067,-0.035,0.025
0.068,-0.021,-0.09
0.086,0.024,-0.075
0.116,0.011,-0.084
0.074,0.007,-0.043
0.057,0.021,-0.007
0.062,-0.05,0.027
0.081,-0.05,0.009
0.049,-0.055,0.035
0.059,-0.026,0.087
0.036,-0.035,0.08
0.036,-0.035,0.08
0.052,-0.057,0.095
0.069,-0.076,0.104
0.025,-0.08,0.118
0.014,-0.15,0.11
0.006,-0.116,0.082
-0.011,-0.068,0.035
-0.016,-0.003,-0.028
-0.001,0.061,-0.002
0,0.036,0.016
-0.068,0.028,-0.018
-0.084,0.008,-0.057
-0.109,-0.025,-0.064
-0.115,-0.011,-0.032
-0.123,0.024,-0.022
-0.114,0.003,0.003
-0.088,-0.008,-0.035
-0.134,0.044,-0.068
-0.125,0.051,-0.059
-0.154,0.119,-0.145
-0.111,0.128,-0.172
-0.123,0.123,-0.139
-0.139,0.058,-0.081
-0.128,0.077,-0.072
-0.131,0.044,-0.072
-0.095,0.022,-0.02
-0.097,-0.011,0.012
-0.021,0.034,0.001
0.007,0.03,0.001
0.017,0.051,-0.06
0.017,0.051,-0.06
0.042,0.037,-0.074
0.059,0.015,-0.038
0.043,-0.01,-0.07
0.099,0.036,-0.072
0.099,0.036,-0.072
0.143,-0.026,-0.032
0.127,-0.04,-0.038
0.127,-0.04,-0.038
0.101,-0.062,-0.068
0.101,-0.062,-0.068
0.105,-0.023,-0.031
0.105,-0.023,-0.031
0.103,0.008,-0.018
0.083,0.02,-0.119
0.083,0.02,-0.119
0.052,0.027,-0.065
0.04,0.02,-0.046
0.04,0.02,-0.046
0.026,-0.002,-0.004
0.026,-0.002,-0.004
0.041,-0.028,0.097
0.041,-0.028,0.097
0.038,-0.063,0.091
0.008,-0.003,0.077
0.008,-0.003,0.077
0.03,0.053,-0.066
0.047,0.108,-0.142
0.047,0.108,-0.142
0,0.144,-0.178
-0.026,0.065,-0.133
-0.009,-0.013,-0.133
0.002,0.006,-0.133
0.002,0.006,-0.133
0.017,0.028,-0.104
0.017,0.028,-0.104
0.051,0.031,-0.068
0.057,0.014,-0.068
0.057,0.014,-0.068
0.074,-0.018,-0.057
0.06,0.029,0.009
0.067,0.012,-0.016
0.067,0.012,-0.029
0.067,0.012,-0.029
0.086,-0.027,0.006
0.074,-0.106,0.027
0.065,-0.092,0.015
0.067,-0.101,0.027
0.067,-0.101,0.027
0.056,-0.094,0.096
0.056,-0.094,0.096
0.077,-0.054,0.117
0.043,-0.099,0.048
0.043,-0.099,0.048
0.014,-0.085,0.021
0.014,-0.085,0.021
-0.005,-0.081,-0.059
0.006,-0.009,-0.1
0.006,-0.009,-0.1
-0.008,0.048,-0.114
-0.029,0.05,-0.129
-0.08,0.072,-0.215
-0.085,0.074,-0.165
-0.085,0.074,-0.165
-0.06,0.052,-0.16
-0.06,0.052,-0.16
-0.089,0.077,-0.15
-0.096,0.106,-0.147
-0.096,0.106,-0.147
-0.06,0.133,-0.104
-0.074,0.102,-0.061
-0.065,0.078,-0.046
-0.067,0.028,-0.013
-0.067,0.028,-0.013
-0.047,0.026,-0.106
-0.047,0.026,-0.106
-0.016,0.081,-0.038
-0.01,0.05,0.045
-0.01,0.05,0.045
0.003,-0.026,0.109
-0.039,-0.091,0.179
-0.039,-0.091,0.179
0.042,-0.108,0.167
0.032,-0.096,0.057
0.063,-0.041,-0.024
0.063,-0.041,-0.024
0.032,0.046,-0.066
0.006,0.05,-0.119
0.006,0.05,-0.119
-0.006,0.023,-0.202
-0.018,0.025,-0.166
-0.033,0.041,-0.099
-0.059,0.031,-0.061
-0.059,0.031,-0.061
-0.038,0,0.013
-0.038,0,0.013
-0.06,-0.057,0.061
-0.065,-0.062,0.07
-0.065,-0.062,0.07
-0.05,-0.016,-0.037
-0.06,0.028,-0.102
-0.091,0.086,-0.102
-0.07,0.091,-0.078
-0.07,0.091,-0.078
-0.089,-0.006,-0.145
-0.089,-0.006,-0.145
-0.096,-0.001,-0.069
-0.096,-0.001,-0.069
-0.066,-0.01,-0.105
-0.083,0,-0.17
-0.087,0.043,-0.139
-0.061,0.057,-0.086
-0.073,0.071,-0.095
-0.044,0.007,-0.091
-0.046,0.015,-0.067
-0.034,0.027,-0.067
-0.025,0.042,-0.022
-0.037,0.011,-0.019
-0.005,-0.003,0.02
-0.034,-0.026,0.046
-0.014,-0.024,0.029
-0.002,-0.057,0.051
-0.007,-0.048,0.077
-0.009,-0.026,0.065
-0.016,-0.017,0.048
-0.002,0.001,-0.068
-0.004,0.056,-0.212
0.033,0.013,0.192
-0.028,-0.077,0.087
-0.016,-0.068,-0.156
0.006,-0.085,-0.161
-0.041,-0.071,-0.068
-0.039,0.04,0.001
-0.001,0.061,-0.067
-0.027,0.042,-0.096
-0.066,0.036,0
-0.066,0.036,0
