accx,accy,accz
1.715,0.518,8.059
1.418,0.69,7.927
1.175,0.686,7.685
0.859,0.72,7.29
0.565,0.824,6.677
0.352,0.958,5.801
0.35,0.962,4.657
0.491,0.925,3.47
0.604,0.943,2.3
0.724,0.925,1.113
0.823,0.861,0.102
0.977,0.662,-0.859
1.099,0.452,-1.705
1.099,0.452,-1.705
0.964,-0.017,-3.116
0.964,-0.017,-3.116
0.721,-0.198,-3.769
0.111,-0.562,-5.174
0.111,-0.562,-5.174
-0.337,-0.88,-6.407
-0.383,-1.026,-7.027
-0.355,-1.101,-7.61
-0.355,-1.101,-7.61
-0.402,-1.204,-8.137
-0.742,-1.221,-8.958
-1.116,-1.191,-9.363
-1.524,-1.146,-9.591
-1.807,-1.071,-9.653
-2.036,-1.127,-9.733
-2.112,-1.115,-9.558
-2.104,-1.087,-9.278
-2.059,-1.078,-8.819
-2.017,-1.04,-8.156
-1.87,-0.978,-7.297
-1.868,-0.981,-6.405
-1.808,-1.041,-5.392
-1.748,-1.026,-4.447
-1.611,-1.04,-3.73
-1.517,-1.112,-3.014
-1.39,-1.092,-2.311
-1.255,-1.031,-1.747
-1.176,-0.885,-1.218
-1.018,-0.671,-0.839
-0.861,-0.397,-0.278
-0.761,-0.168,0.456
-0.779,0.091,1.197
-0.806,0.335,2.022
-0.892,0.594,2.918
-1.075,0.889,3.719
-1.224,1.146,4.345
-1.356,1.349,4.847
-1.558,1.557,5.308
-1.527,1.664,5.64
-1.244,1.642,5.93
-0.863,1.468,6.194
-0.492,1.366,6.293
-0.124,1.125,6.392
0.197,0.891,6.451
0.35,0.712,6.566
0.265,0.597,6.592
0.162,0.485,6.55
0.117,0.317,6.334
0.138,0.112,5.877
0.291,-0.08,5.22
0.481,-0.239,4.377
0.722,-0.355,3.379
0.853,-0.495,2.201
0.897,-0.579,0.899
0.868,-0.639,-0.397
0.766,-0.675,-1.708
0.648,-0.732,-2.967
0.526,-0.756,-4.215
0.429,-0.767,-5.372
0.289,-0.856,-6.459
0.192,-0.9,-7.42
0.184,-0.936,-8.311
0.175,-1.053,-8.976
0.208,-1.166,-9.359
0.242,-1.257,-9.555
0.249,-1.332,-9.671
0.184,-1.427,-9.651
0.032,-1.475,-9.478
-0.12,-1.505,-9.181
-0.34,-1.556,-8.79
-0.555,-1.631,-8.352
-0.703,-1.64,-7.903
-0.756,-1.583,-7.396
-0.632,-1.517,-6.91
-0.437,-1.396,-6.406
-0.213,-1.298,-6.005
-0.176,-1.194,-5.636
-0.406,-0.918,-5.223
-0.749,-0.604,-4.949
-1.013,-0.424,-4.646
-1.145,-0.373,-4.153
-1.168,-0.375,-3.494
-1.179,-0.434,-2.724
-0.989,-0.46,-1.813
-0.71,-0.529,-0.774
-0.394,-0.521,0.28
-0.234,-0.251,1.179
-0.241,0.284,2.201
-0.139,0.544,3.358
0.014,0.671,4.29
0.023,0.599,4.97
-0.031,0.712,5.599
-0.173,0.844,6.071
-0.13,1.036,6.722
0.11,1.006,7.237
0.11,1.006,7.237
0.651,0.779,7.712
0.651,0.779,7.712
1.567,-0.138,8.7
1.753,-0.299,9.044
1.753,-0.299,9.044
1.755,-0.279,9.026
1.694,-0.24,8.581
1.659,-0.12,7.843
1.696,-0.008,6.703
1.763,0.161,5.274
1.794,0.3,3.721
1.794,0.3,3.721
1.823,0.513,0.941
1.662,0.608,-0.132
1.519,0.619,-1.06
1.405,0.48,-1.812
1.336,0.27,-2.588
1.229,0.131,-3.436
1.018,0.021,-4.348
0.767,-0.16,-5.274
